alpha,run,te_delta,substrate_robustness,polarization_mean,variant_te_deltas
0.6000000000000001,9,0.8551194854102311,0.9999158424187631,0.16586624423377666,"[np.float64(0.8551899295447702), np.float64(0.8551156577325834), np.float64(0.8552932202443266)]"
0.7000000000000001,0,0.8551120287413626,0.999914503459462,0.14204630730148757,"[np.float64(0.8551846202009894), np.float64(0.8551082595809261), np.float64(0.8552884967043589)]"
0.7000000000000001,1,0.8551120287413626,0.999914503459462,0.14204630730148757,"[np.float64(0.8551846202009894), np.float64(0.8551082595809261), np.float64(0.8552884967043589)]"
0.7000000000000001,2,0.8551120287413626,0.999914503459462,0.14204630730148757,"[np.float64(0.8551846202009894), np.float64(0.8551082595809261), np.float64(0.8552884967043589)]"
0.7000000000000001,3,0.8551120287413626,0.999914503459462,0.14204630730148757,"[np.float64(0.8551846202009894), np.float64(0.8551082595809261), np.float64(0.8552884967043589)]"
0.7000000000000001,4,0.8551120287413626,0.999914503459462,0.14204630730148757,"[np.float64(0.8551846202009894), np.float64(0.8551082595809261), np.float64(0.8552884967043589)]"
0.7000000000000001,5,0.8551120287413626,0.999914503459462,0.14204630730148757,"[np.float64(0.8551846202009894), np.float64(0.8551082595809261), np.float64(0.8552884967043589)]"
0.7000000000000001,6,0.8551120287413626,0.999914503459462,0.14204630730148757,"[np.float64(0.8551846202009894), np.float64(0.8551082595809261), np.float64(0.8552884967043589)]"
0.7000000000000001,7,0.8551120287413626,0.999914503459462,0.14204630730148757,"[np.float64(0.8551846202009894), np.float64(0.8551082595809261), np.float64(0.8552884967043589)]"
0.7000000000000001,8,0.8551120287413626,0.999914503459462,0.14204630730148757,"[np.float64(0.8551846202009894), np.float64(0.8551082595809261), np.float64(0.8552884967043589)]"
0.7000000000000001,9,0.8551120287413626,0.999914503459462,0.14204630730148757,"[np.float64(0.8551846202009894), np.float64(0.8551082595809261), np.float64(0.8552884967043589)]"
0.8,0,0.855083612239569,0.9998972185717989,0.18488644356024214,"[np.float64(0.8551268333504708), np.float64(0.8551375336199141), np.float64(0.8549184581118346)]"
0.8,1,0.855083612239569,0.9998972185717989,0.18488644356024214,"[np.float64(0.8551268333504708), np.float64(0.8551375336199141), np.float64(0.8549184581118346)]"
